Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Price to book value,Market Capitalization,Promoter holding,FII holding,Change in FII holding,DII holding,Change in DII holding,Return on equity,Return on capital employed,Debt to equity,PEG Ratio,Sales,Price to Free Cash Flow,EBIT,Operating cash flow 5years,Change in promoter holding,Change in promoter holding 3Years,Pledged percentage,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,Cash Equivalents,Debt
Chemtech Indust.,537326,,INE212P01011,Industrial Manufacturing,Industrial Products,81.33,24.15,1.46,149.95,39.03,0.00,0.00,1.66,-0.25,10.74,14.19,0.00,0.17,32.47,598.59,9.40,7.30,0.00,-34.75,0.00,115.64,35.90,48.67,12.39,66.99,0.00
Coral Labs.,524506,,INE683E01017,Pharmaceuticals & Biotechnology,Pharmaceuticals,499.40,12.48,0.84,178.28,71.51,0.00,0.00,0.00,0.00,13.06,17.44,0.00,0.29,87.54,4903.20,19.33,13.00,0.00,0.00,0.00,43.78,28.24,10.30,9.96,73.46,0.88
DB Intl.Stock,530393,DBSTOCKBRO,INE921B01025,Capital Markets,Stockbroking & Allied,31.51,35.74,1.46,111.14,41.17,0.00,0.00,0.00,0.00,4.21,7.28,0.03,-1.68,27.65,-98.47,5.56,24.99,0.00,6.83,0.00,-21.30,58.59,19.68,16.08,96.52,2.01
DCX Systems,543650,DCXINDIA,INE0KL801015,Aerospace & Defense,Aerospace & Defense,210.92,176.59,1.62,2346.92,52.16,0.83,-0.23,2.91,-0.73,3.11,5.10,0.00,-11.03,1086.03,-15.95,38.58,-109.88,0.00,-19.57,0.00,-25.60,,,,872.87,3.51
Den Networks,533137,DEN,INE947J01015,Entertainment,TV Broadcasting & Software Production,27.53,7.90,0.35,1310.40,74.90,0.46,-0.05,0.14,0.00,4.48,5.58,0.01,-1.67,974.28,-80.85,209.99,353.59,0.00,0.00,0.00,-4.73,20.74,20.58,8.00,3138.67,20.04
DigiSpice Tech.,517214,DIGISPICE,INE927C01020,IT - Services,IT Enabled Services,19.33,18.20,1.93,443.34,72.70,0.00,0.00,0.00,0.00,10.89,12.08,0.36,0.34,464.65,15.44,37.19,272.86,0.00,-0.48,0.00,53.73,22.05,21.60,10.17,340.24,83.65
EKI Energy,543284,,INE0CPR01018,Commercial Services & Supplies,Consulting Services,87.61,,0.64,242.57,65.89,0.06,-0.01,0.00,0.00,-3.90,-3.84,0.01,,86.52,9.70,-15.16,285.15,-0.10,-7.53,0.00,,,,,114.17,5.41
Elnet Technolog,517477,,INE033C01019,IT - Services,IT Enabled Services,340.00,6.77,0.77,136.00,52.85,0.00,0.00,0.00,0.00,12.11,15.41,0.02,0.49,24.94,-14.16,26.23,-34.43,0.00,0.00,0.00,13.86,10.87,13.21,11.96,90.18,4.26
Emk.Global Fin.,532737,EMKAY,INE296H01011,Capital Markets,Stockbroking & Allied,224.24,39.73,1.54,603.85,72.21,0.84,0.04,0.01,-0.04,4.45,7.92,0.29,15.52,376.95,-24.28,34.16,-53.45,0.30,-2.28,0.00,0.50,5.10,9.34,1.67,915.67,110.45
GeeCee Vent.,532764,GEECEE,INE916G01016,Realty,"Residential, Commercial Projects",331.35,16.49,0.83,693.97,67.71,0.00,0.00,0.13,0.00,5.21,6.31,0.00,0.31,74.81,23.39,51.05,176.92,0.00,0.00,0.00,53.56,32.59,4.21,3.23,233.20,0.00
General Insuranc,540755,GICRE,INE481Y01014,Insurance,General Insurance,391.40,7.12,0.97,68568.35,82.40,2.05,-0.07,13.55,0.23,10.99,13.32,0.00,0.18,53175.88,15.46,11623.28,35820.90,0.00,-3.38,0.00,39.03,105.29,22.85,-13.98,26897.05,1.37
Geojit Fin. Ser.,532285,GEOJITFSL,INE007B01023,Capital Markets,Stockbroking & Allied,75.42,24.35,1.75,2106.58,38.47,1.87,-0.71,9.87,-0.26,7.33,9.04,0.10,-6.34,671.08,34.51,127.30,399.86,0.00,-16.14,9.31,-3.87,-6.81,18.19,8.47,936.10,122.69
GVP Infotech,,GVPTECH,INE382T01030,IT - Software,Computers - Software & Consulting,6.44,,1.39,111.14,74.80,0.00,0.00,0.00,0.00,-1.58,-1.44,0.00,,7.58,6.97,-91.52,60.91,0.00,-16.18,0.00,,,,,59.10,0.00
IL&FS Inv.Manag.,511208,IVC,INE050B01023,Capital Markets,Asset Management Company,7.46,29.76,1.14,236.85,50.42,0.00,-0.04,0.00,0.00,6.44,6.51,0.00,1.57,44.92,-43.49,14.58,1.69,0.00,0.00,0.00,18.96,24.12,-2.11,-15.77,136.04,0.00
Indbank Merchant,511473,INDBANK,INE841B01017,Capital Markets,Stockbroking & Allied,33.88,21.43,1.52,150.22,64.84,0.00,0.00,0.09,0.00,7.36,10.34,0.00,0.67,25.11,1100.69,9.84,-3.78,0.00,0.00,0.00,32.11,11.60,22.33,9.81,86.72,0.00
Inventure Grow.,533506,INVENTURE,INE878H01024,Capital Markets,Stockbroking & Allied,1.00,30.09,0.38,105.00,26.40,0.00,0.00,0.00,0.00,1.27,2.22,0.13,-1.08,47.21,-6.17,6.89,-12.96,0.00,0.00,0.00,-27.77,-22.64,16.75,11.30,124.21,36.63
Jasch Gauging,544112,,INE0QXV01014,Industrial Manufacturing,Industrial Products,518.00,14.82,2.53,234.75,57.63,0.00,0.00,0.00,0.00,17.73,24.34,0.00,,57.71,-15.74,21.76,,0.00,,0.00,,,,,85.43,0.02
Keto Motors,537392,,INE392H01018,Retailing,Diversified Retail,133.96,,0.00,943.54,92.49,0.00,0.00,0.86,0.86,-0.71,-0.10,0.00,,0.04,,-0.24,-0.22,29.24,71.48,0.00,20.51,12.26,,,14666.39,5000.00
LKP Securities,540192,,INE341H01023,Capital Markets,Stockbroking & Allied,18.30,14.64,1.48,150.64,71.04,3.94,-0.22,0.00,0.00,10.60,13.61,0.74,0.36,107.15,-11.16,22.01,-84.56,0.00,0.34,0.00,38.11,17.65,23.41,,138.40,74.93
Manali Petrochem,500268,MANALIPETC,INE201A01024,Chemicals & Petrochemicals,Petrochemicals,60.47,14.66,0.81,1040.41,44.86,0.37,0.08,0.01,0.00,5.97,7.24,0.11,1.23,1022.39,-148.16,95.70,636.88,0.00,0.00,0.00,11.88,-20.02,1.05,3.81,605.31,137.00
Master Trust,511768,MASTERTR,INE677D01037,Capital Markets,Stockbroking & Allied,89.11,8.69,1.34,1096.20,71.93,0.02,0.00,0.00,-0.05,17.33,23.85,0.28,0.36,575.85,4.56,231.85,893.45,0.00,-2.91,16.95,19.17,26.54,31.24,41.12,1824.50,227.87
Metroglobal,500159,METROGLOBL,INE085D01033,Commercial Services & Supplies,Trading & Distributors,127.75,9.76,0.39,156.73,74.73,0.00,0.00,0.07,0.00,3.99,7.18,0.01,0.55,235.67,6.81,29.26,48.93,0.00,0.00,0.00,17.88,23.98,5.69,3.62,75.01,3.33
MSTC,542597,MSTCLTD,INE255X01014,Commercial Services & Supplies,Trading & Distributors,430.05,13.32,3.64,3023.65,64.75,3.93,0.13,1.20,-0.02,28.37,29.26,0.17,-32.49,339.72,13.83,261.48,1673.30,0.00,0.00,0.00,-0.41,15.18,3.51,-13.38,1210.99,145.00
New India Assura,540769,NIACL,INE470Y01017,Insurance,General Insurance,166.20,19.34,0.79,27313.44,85.44,1.01,0.01,11.17,0.02,4.44,3.87,0.00,0.20,49781.75,-6.41,1232.83,-22500.45,0.00,0.00,0.00,98.51,-2.97,30.35,12.15,19289.89,0.00
Noida Tollbridg.,532481,NOIDATOLL,INE781B01015,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity",6.82,4.69,,127.52,26.37,0.00,0.00,0.60,0.00,,162.47,,0.12,42.87,8.14,27.27,74.98,0.00,0.00,0.00,40.48,21.83,15.60,-11.83,85.42,42.91
Nuvama Wealth,543988,NUVAMA,INE531F01023,Capital Markets,Stockbroking & Allied,1504.80,26.35,6.65,27427.35,54.13,16.94,0.55,8.30,-0.07,27.36,17.49,2.80,0.52,4630.69,-15.87,2361.64,-8333.25,-0.07,,62.80,,,,,21971.12,11543.52
One Mobikwik,544305,MOBIKWIK,INE0HLU01028,Financial Technology (Fintech),Financial Technology (Fintech),191.16,,2.79,1505.94,25.08,4.24,1.05,4.07,-0.70,-8.26,-2.24,0.51,,1119.23,-23.26,-18.98,-461.95,-0.03,,0.00,16.88,14.81,,,893.14,275.95
