Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Price to book value,Market Capitalization,Promoter holding,FII holding,Change in FII holding,DII holding,Change in DII holding,Return on equity,Return on capital employed,Debt to equity,PEG Ratio,Sales,Price to Free Cash Flow,EBIT,Operating cash flow 5years,Change in promoter holding,Change in promoter holding 3Years,Pledged percentage,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,Sales growth 10Years,Sales growth 7Years,Sales growth 5Years
Neuland Labs.,524558,NEULANDLAB,INE794A01010,Pharmaceuticals & Biotechnology,Pharmaceuticals,16758.00,59.28,11.47,21576.52,32.64,20.46,-0.44,15.84,1.12,21.42,26.59,0.16,1.95,2022.99,354.88,512.93,1222.84,0.01,-3.50,2.29,30.39,38.74,55.54,24.90,14.77,17.18,16.64
Persistent Systems,533179,PERSISTENT,INE262H01021,IT - Software,Computers - Software & Consulting,5038.00,41.13,10.14,79460.06,30.29,22.11,-0.68,30.47,0.67,27.30,34.43,0.06,1.49,14748.45,68.48,2572.92,6026.91,0.00,-0.97,0.00,26.35,35.06,29.27,22.40,20.36,23.50,28.63
Polycab India,542652,POLYCAB,INE455K01017,Industrial Products,Cables - Electricals,9398.50,52.97,11.78,141549.52,61.50,18.21,3.39,7.95,-3.18,24.48,34.32,0.02,1.76,28883.79,116.94,3856.11,8854.57,0.00,-4.70,0.00,29.82,24.93,25.95,29.71,18.70,20.16,26.86
Pondy Oxides,532626,POCL,INE063E01053,Diversified Metals,Diversified Metals,1507.50,38.72,6.61,4596.63,39.34,2.22,-0.12,7.15,0.37,13.66,16.88,0.05,3.68,2523.60,-112.13,165.86,22.51,0.00,-9.54,0.00,3.65,26.41,8.53,21.89,18.46,11.62,10.70
Power Mech Proj.,539302,POWERMECH,INE211R01019,Construction,Civil Construction,2547.10,22.12,3.20,8051.25,58.42,6.48,-0.07,20.18,-0.36,15.56,21.82,0.26,1.09,6061.57,415.82,673.14,992.05,0.09,-5.75,0.00,17.97,56.54,15.90,16.26,15.97,15.13,26.33
Prec. Wires (I),523539,PRECWIRE,INE372C01037,Industrial Products,"Aluminium, Copper & Zinc Products",442.60,51.98,10.48,8070.67,56.62,1.65,0.33,0.11,0.05,23.03,33.09,0.38,1.35,5463.43,390.48,281.81,619.79,0.00,-3.05,0.00,37.43,30.28,19.73,24.08,20.54,17.59,26.03
Radico Khaitan,532497,RADICO,INE944F01028,Beverages,Breweries & Distilleries,3539.40,76.84,14.29,47405.66,40.20,17.63,-2.19,27.35,3.32,20.33,24.21,0.15,1.87,6050.43,224.42,885.82,1732.25,0.00,-0.07,0.00,41.12,17.30,17.90,22.55,13.92,16.61,20.58
Railtel Corpn.,543265,RAILTEL,INE0DD101019,Telecom - Services,Other Telecom Services,328.55,29.01,4.66,10554.32,72.84,3.72,0.04,0.99,0.15,17.07,22.78,0.03,1.20,4277.48,118.34,497.72,1670.26,0.00,0.00,0.00,24.22,20.98,15.47,13.59,22.28,23.32,26.18
Rainbow Child.,543524,RAINBOW,INE961O01016,Healthcare Services,Hospital,1350.00,49.04,8.32,13702.91,49.84,17.24,-2.00,21.12,1.63,17.93,18.25,0.54,4.98,1703.08,97.39,437.39,1687.68,0.00,0.01,0.00,9.83,24.80,15.33,4.23,21.98,17.75,21.24
Rajoo Engineers,522257,RAJOOENG,INE535F01024,Industrial Manufacturing,Industrial Products,57.87,21.66,2.99,1033.99,60.70,1.66,-0.09,0.77,-0.22,18.77,24.49,0.07,0.34,344.25,56.79,67.00,184.09,0.00,-5.14,0.00,59.79,29.83,27.41,22.18,11.55,14.71,15.22
